11201811685,DA1NHZ6013-18SA,BIOTECNOLOGIA ANIMAL A1-Diurno (Santo André)
11201811685,DA1MCTA009-13SA,"COMPUTADORES, ÉTICA E SOCIEDADE A1-Diurno (Santo André)"
11201811685,DA1BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A1-Diurno (Santo André)
11201811685,NA1BHS0005-23SB,FILOSOFIA E SOCIEDADE CIVIL EM MOVIMENTO(S) A1-Noturno (São Bernardo)
11201811685,DAESTU036-17SA,SISTEMAS DE DRENAGEM URBANA A-Diurno (Santo André)
11201921313,DA1BCM0506-15SB,COMUNICAÇÃO E REDES A1-Diurno (São Bernardo)
11201921313,DA1BCJ0205-15SB,FENÔMENOS TÉRMICOS A1-Diurno (São Bernardo)
11201921313,NA1BHS0005-23SB,FILOSOFIA E SOCIEDADE CIVIL EM MOVIMENTO(S) A1-Noturno (São Bernardo)
11201921313,DA1BIN0406-15SB,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A1-Diurno (São Bernardo)
11102814,NA1MCCC006-23SA,COMPILADORES E INTERPRETADORES A1-Noturno (Santo André)
11102814,NA1ESTI015-17SA,COMUNICAÇÕES MÓVEIS A1-Noturno (Santo André)
11102814,DA1ESTI016-17SA,FUNDAMENTOS DE FOTÔNICA A1-Diurno (Santo André)
11102814,NA1ESTI020-17SA,TEORIA DE FILAS E ANÁLISE DE DESEMPENHO A1-Noturno (Santo André)
11042216,DA1NHBT002-23SA,BIOTECNOLOGIA VEGETAL A1-Diurno (Santo André)
11042216,DA2ESTA002-17SA,CIRCUITOS ELÉTRICOS I A2-Diurno (Santo André)
11042216,DA1NHZ6004-18SA,ENZIMOLOGIA E BIOCATÁLISE A1-Diurno (Santo André)
11042216,DA1ESTO016-17SA,FENÔMENOS DE TRANSPORTE A1-Diurno (Santo André)
11201723015,DA3BCJ0203-15SB,FENÔMENOS ELETROMAGNÉTICOS A3-Diurno (São Bernardo)
11202321330,NA1ESTO011-17SB,FUNDAMENTOS DE DESENHO TÉCNICO A1-Noturno (São Bernardo)
11202321330,NA1BIN0406-15SB,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A1-Noturno (São Bernardo)
11202321043,DB4BIS0003-15SA,BASES MATEMÁTICAS B4-Diurno (Santo André)
11202321043,DA2BIK0102-15SB,ESTRUTURA DA MATÉRIA A2-Diurno (São Bernardo)
11202321043,DB3BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA B3-Diurno (Santo André)
11202321043,DB1MCTB019-17SA,MATEMÁTICA DISCRETA B1-Diurno (Santo André)
11202131095,NAESHC012-21SB,ECONOMIA INSTITUCIONAL A-Noturno (São Bernardo)
11202131095,NC1ESTO013-17SB,ENGENHARIA ECONÔMICA C1-Noturno (São Bernardo)
11202131095,NA1BCN0407-15SB,FUNÇÕES DE VÁRIAS VARIÁVEIS A1-Noturno (São Bernardo)
11201920527,NA1ESTA007-17SA,ELETRÔNICA ANALÓGICA APLICADA A1-Noturno (Santo André)
